Name	Location	Rank	Tuition and fees	Undergrad Enrollment
University at Buffalo--SUNY	Buffalo, NY	99.0	26270.0	19951.0
Illinois Institute of Technology	Chicago, IL	103.0	45214.0	2991.0
University of Alabama	Tuscaloosa, AL	103.0	26950.0	31958.0
University of Oregon	Eugene, OR	103.0	33442.0	20538.0
University of Tennessee	Knoxville, TN	103.0	30858.0	21863.0
Rochester Institute of Technology	Rochester, NY	107.0	38568.0	12607.0
University of New Hampshire	Durham, NH	107.0	31424.0	13034.0
University of San Francisco	San Francisco, CA	107.0	44494.0	6782.0
University of South Carolina	Columbia, SC	107.0	31282.0	25237.0
Iowa State University	Ames, IA	111.0	21483.0	30034.0
University of Dayton	Dayton, OH	111.0	40940.0	8665.0
University of Missouri	Columbia, MO	111.0	25892.0	27812.0
University of Nebraska--Lincoln	Lincoln, NE	111.0	23148.0	20182.0
University of Oklahoma	Norman, OK	111.0	21451.0	22132.0
University of the Pacific	Stockton, CA	111.0	44588.0	3735.0
University of Utah	Salt Lake City, UT	111.0	27039.0	23794.0
Michigan Technological University	Houghton, MI	118.0	30968.0	5721.0
Seton Hall University	South Orange, NJ	118.0	39258.0	6090.0
Temple University	Philadelphia, PA	118.0	25994.0	28609.0
University of California--Riverside	Riverside, CA	118.0	40263.0	18608.0
University of Kansas	Lawrence, KS	118.0	25932.0	19245.0
University of St. Thomas	St. Paul, MN	118.0	39594.0	6240.0
The Catholic University of America	Washington, DC	124.0	42536.0	3480.0
DePaul University	Chicago, IL	124.0	37626.0	15961.0
Duquesne University	Pittsburgh, PA	124.0	35062.0	5961.0
Howard University	Washington, DC	124.0	24908.0	6883.0
University of Arizona	Tucson, AZ	124.0	30025.0	33732.0
Arizona State University--Tempe	Tempe, AZ	129.0	25458.0	41828.0
Clarkson University	Potsdam, NY	129.0	46132.0	3257.0
Colorado State University	Fort Collins, CO	129.0	28374.0	24433.0
New School	New York, NY	129.0	45535.0	6792.0
Hofstra University	Hempstead, NY	133.0	42160.0	6824.0
University of Kentucky	Lexington, KY	133.0	26334.0	22705.0
Kansas State University	Manhattan, KS	135.0	23429.0	19859.0
Louisiana State University--Baton Rouge	Baton Rouge, LA	135.0	27005.0	26156.0
Mercer University	Macon, GA	135.0	35130.0	4667.0
New Jersey Institute of Technology	Newark, NJ	135.0	30326.0	8008.0
Rutgers University--Newark	Newark, NJ	135.0	29480.0	7713.0
University of Arkansas	Fayetteville, AR	135.0	23168.0	22159.0
University of Cincinnati	Cincinnati, OH	135.0	26334.0	25054.0
University of Mississippi	University, MS	135.0	22012.0	18785.0
George Mason University	Fairfax, VA	143.0	32582.0	23062.0
Oregon State University	Corvallis, OR	143.0	28846.0	24612.0
Washington State University	Pullman, WA	143.0	25673.0	24470.0
Adelphi University	Garden City, NY	146.0	34034.0	4852.0
Ohio University	Athens, OH	146.0	21208.0	23513.0
San Diego State University	San Diego, CA	146.0	18244.0	29234.0
St. John Fisher College	Rochester, NY	146.0	31880.0	2805.0
University at Albany--SUNY	Albany, NY	146.0	22244.0	12908.0
University of Texas--Dallas	Richardson, TX	146.0	33654.0	15575.0
Illinois State University	Normal, IL	152.0	20886.0	18426.0
Immaculata University	Immaculata, PA	152.0	35210.0	1790.0
Oklahoma State University	Stillwater, OK	152.0	20978.0	21046.0
University of California--Merced	Merced, CA	152.0	39944.0	6237.0
University of Illinois--Chicago	Chicago, IL	152.0	26526.0	17575.0
University of La Verne	La Verne, CA	152.0	39900.0	2864.0
University of Massachusetts--Lowell	Lowell, MA	152.0	29125.0	13266.0
Seattle Pacific University	Seattle, WA	159.0	38940.0	3202.0
University of Alabama--Birmingham	Birmingham, AL	159.0	17654.0	11511.0
University of Maryland--Baltimore County	Baltimore, MD	159.0	24492.0	11243.0
University of Rhode Island	Kingston, RI	159.0	28852.0	13641.0
University of South Florida	Tampa, FL	159.0	17325.0	31111.0
Biola University	La Mirada, CA	164.0	36696.0	4225.0
Maryville University of St. Louis	St Louis, MO	164.0	27958.0	2795.0
