Student ID,Career,Program and Plan,Level,Section,Practice Midterm,Midterm
81,Undergraduate,Weinberg College of Arts & Sci - Computer Science/Data Science,Senior,Sec21,20,17.25
82,The Graduate School,Statistics & Data Science: MS - Statistics & Data Science: MS,Graduate,Sec21,20,12.75
83,Undergraduate,Weinberg College of Arts & Sci - Computer Science/Data Science,Junior,Sec21,19,16.75
84,Undergraduate,Weinberg College of Arts & Sci - Data Science/Math Methods in the Social Sci,Junior,Sec21,20,16.63
85,Undergraduate,Weinberg College of Arts & Sci - Data Science/Business Institutions/General Music,Sophomore,Sec21,13.5,7.67
86,Undergraduate,Weinberg College of Arts & Sci - Computer Science/Mathematics,Senior,Sec21,8,11
87,Undergraduate,Bienen School of Music - Piano,Senior,Sec21,20,12.13
88,Undergraduate,School of Communication - Theatre/Data Science,Junior,Sec21,18,7.58
89,Undergraduate,School of Communication - Communication Studies/Data Science/Psychology,Junior,Sec21,,12.38
90,The Graduate School,Statistics & Data Science: MS - Statistics & Data Science: MS,Graduate,Sec21,4.83,6.17
91,Undergraduate,Weinberg College of Arts & Sci - Data Science,Sophomore,Sec21,0.5,10.75
92,Undergraduate,Weinberg College of Arts & Sci - Data Science,Sophomore,Sec21,9.5,6.25
93,Undergraduate,School of Communication - Data Science/Communication Studies,Junior,Sec21,10.5,17.38
94,Undergraduate,Weinberg College of Arts & Sci - Economics/Business Institutions/Data Science/History,Senior,Sec21,8.67,10.25
95,Undergraduate,Weinberg College of Arts & Sci - Economics/Data Science/Spanish/Music Technology,Senior,Sec21,11.5,11.75
96,Undergraduate,School of Journalism - Journalism/Data Science,Sophomore,Sec21,12,17.5
97,Undergraduate,Weinberg College of Arts & Sci - Data Science/Economics,Junior,Sec21,15.5,15.13
98,Undergraduate,Weinberg College of Arts & Sci - Cognitive Science/Data Science,Junior,Sec21,10.67,10.5
99,The Graduate School,Statistics & Data Science: MS - Statistics & Data Science: MS,Graduate,Sec21,10.17,12.21
100,Undergraduate,Weinberg College of Arts & Sci - Math Methods in the Social Sci/Undeclared/Data Science,Junior,Sec21,20,16.88
101,Undergraduate,Weinberg College of Arts & Sci - Undeclared/Data Science,Sophomore,Sec21,10.17,11.38
102,Undergraduate,Weinberg College of Arts & Sci - Undeclared/Data Science,Sophomore,Sec21,10.17,14.25
103,Undergraduate,Weinberg College of Arts & Sci - Undeclared/Data Science,Sophomore,Sec21,17,13.63
104,Undergraduate,Weinberg College of Arts & Sci - Data Science/Economics,Junior,Sec21,17.5,18.63
105,Undergraduate,Weinberg College of Arts & Sci - Data Science,Junior,Sec21,20,15.13
106,The Graduate School,Statistics & Data Science: MS - Statistics & Data Science: MS,Graduate,Sec21,20,9.5
107,Undergraduate,Weinberg College of Arts & Sci - Cognitive Science/Data Science,Senior,Sec21,11.17,18.25
108,Undergraduate,Weinberg College of Arts & Sci - Economics/Sociology/Data Science,Senior,Sec21,14.5,12.17
109,Undergraduate,School of Engineering - Statistics/Computer Science,Senior,Sec21,13.17,14.25
110,Undergraduate,Weinberg College of Arts & Sci - Neuroscience/Data Science,Senior,Sec21,0,10.67
111,Undergraduate,Weinberg College of Arts & Sci - Data Science/Economics/Kellogg Managerial Analytics,Junior,Sec21,11.67,12
112,Undergraduate,Weinberg College of Arts & Sci - Data Science/Mathematics/Legal Studies,Junior,Sec21,0,9.13
113,Undergraduate,Weinberg College of Arts & Sci - Data Science,Junior,Sec21,12.5,4.88
114,The Graduate School,Statistics & Data Science: MS - Statistics & Data Science: MS,Graduate,Sec21,0,8.33
115,Undergraduate,Weinberg College of Arts & Sci - Cognitive Science/Computer Science/Data Science,Senior,Sec21,17.5,15.13
