Timestamp,Preferred_alcoholic_drink,num_of_parties_per_year,smoke_cigarettes,smoke_weed,introvert_extrovert,believe_love_at_first_sight,learning_style,left_right_brained,Myer_Briggs_personality,preferred_social_media_platform,instagram_followers,preferred_streaming_platform,preferred_age_to_marry,expected_starting_salary,fav_sport,exercise_minutes_per_week,hours_sleep_per_night
2023/09/20 9:59:41 pm GMT-5,Wine,2,No,Occasionally,Introvert,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISFP,Instagram,1200,Netflix,28,110000,Soccer,100,7
2023/09/20 10:46:49 pm GMT-5,Hard liquor/Mixed drink,1,No,Occasionally,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",INFP,TikTok,470,Amazon Prime,27,80000,Archery,300,6
2023/09/20 10:46:55 pm GMT-5,Wine,10,No,No,Introvert,No,Auditory (learn best through listening/speaking),"Right-brained (creative, art, imaginative, intuitive)",ISFJ,Instagram,900,Netflix,30,70000,Swimming,8,7
2023/09/20 10:50:12 pm GMT-5,Wine,4,No,Occasionally,Extrovert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,TikTok,680,Netflix,32,90000,Weightlifting,8,7
2023/09/20 10:50:51 pm GMT-5,Beer,1,No,No,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INTP,Instagram,400,Hulu,30,100000,Squash,9,6
2023/09/20 10:58:13 pm GMT-5,Beer,7,Occasionally,Occasionally,Extrovert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ESTJ,Instagram,1000,Netflix,30,90000,Basketball,360,7
2023/09/20 11:19:18 pm GMT-5,Hard liquor/Mixed drink,4,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,Instagram,450,Netflix,30,100000,Squash,400,6
2023/09/21 10:39:13 am GMT-5,Hard liquor/Mixed drink,1,No,No,Introvert,No,Auditory (learn best through listening/speaking),"Right-brained (creative, art, imaginative, intuitive)",INFP,Instagram,350,Netflix,32,70000,Dancing,420,7
2023/09/21 11:11:39 am GMT-5,Wine,7,No,No,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ESFP,Snapchat,700,HBO Max,30,"110,000",Soccer,240,6
2023/09/21 2:19:59 pm GMT-5,I dont drink,0,No,No,Extrovert,Yes,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,Instagram,"2,500",N/A,32,"300,000",Basketball,350,7
