,Title,US Gross,Worldwide Gross,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,IMDB Rating,IMDB Votes,ratio_wgross_by_budget,Release Year
395,The Princess Diaries,108244774,165334774,30000000,2001-08-03,G,Adapted screenplay,Comedy,Fiction,5.9,23486,5.511159133333333,2001
396,Sleepers,53300852,165600852,44000000,1996-10-18,R,Adapted screenplay,Drama,Non-Fiction,7.3,51874,3.7636557272727273,1996
397,Contact,100920329,165900000,90000000,1997-07-11,PG/PG-13,Adapted screenplay,Drama,Fiction,7.3,73684,1.8433333333333333,1997
398,Stuart Little 2,64956806,166000000,120000000,2002-07-19,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.6,7534,1.3833333333333333,2002
399,Mr. Deeds,126293452,171269535,50000000,2002-06-28,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.5,39756,3.4253907,2002
400,Black Hawk Down,108638745,173638745,95000000,2001-12-28,R,Adapted screenplay,Action/Adventure,Non-Fiction,7.7,98653,1.8277762631578947,2001
401,The Bridges of Madison County,71516617,175516617,22000000,1995-06-02,PG/PG-13,Adapted screenplay,Drama,Fiction,7.2,21923,7.978028045454545,1995
402,How to Lose a Guy in 10 Days,105807520,177079973,50000000,2003-02-07,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.1,33866,3.54159946,2003
403,The Haunting,91188905,180188905,80000000,1999-07-23,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,4.6,31808,2.2523613125,1999
404,Brokeback Mountain,83043761,180343761,13900000,2005-12-09,R,Adapted screenplay,Drama,Fiction,7.8,115951,12.974371294964028,2005
405,The First Wives Club,105489203,181489203,30000000,1996-09-20,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.6,14682,6.0496401,1996
406,Atlantis: The Lost Empire,84052762,186049020,90000000,2001-06-08,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,15552,2.0672113333333333,2001
407,Knowing,79957634,187858642,50000000,2009-03-20,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.4,58138,3.75717284,2009
408,The Sum of All Fears,118471320,193500000,68000000,2002-05-31,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.3,38586,2.8455882352941178,2002
409,Beowulf,82195215,194995215,150000000,2007-11-16,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.6,62513,1.2999681,2007
410,Lemony Snicket's A Series of Unfortunate Events,118627117,201627117,100000000,2004-12-17,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.9,51614,2.01627117,2004
411,JFK,70405498,205400000,40000000,1991-12-20,R,Adapted screenplay,Drama,Non-Fiction,8.0,59684,5.135,1991
412,Red Dragon,92955420,206455420,78000000,2002-10-04,R,Adapted screenplay,Horror/Thriller,Fiction,7.3,66386,2.646864358974359,2002
413,Sleepy Hollow,101068340,207068340,70000000,1999-11-19,R,Adapted screenplay,Horror/Thriller,Fiction,7.5,107511,2.958119142857143,1999
414,Clear and Present Danger,122012656,207500000,62000000,1994-08-03,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.8,29612,3.346774193548387,1994
415,Jaws 2,102922376,208900376,20000000,1978-06-16,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,5.6,18793,10.4450188,1978
416,Master and Commander: The Far Side of the World,93926386,209486484,135000000,2003-11-14,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.5,63632,1.5517517333333333,2003
417,Public Enemies,97104620,210379983,102500000,2009-07-01,R,Adapted screenplay,Drama,Non-Fiction,7.1,71323,2.0524876390243905,2009
418,The Bourne Identity,121468960,213300000,60000000,2002-06-14,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.7,122597,3.555,2002
419,Dracula,82522790,215862692,40000000,1992-11-13,R,Adapted screenplay,Horror/Thriller,Fiction,6.4,136,5.3965673,1992
420,Million Dollar Baby,100492203,216763646,30000000,2004-12-15,PG/PG-13,Adapted screenplay,Drama,Fiction,8.2,141212,7.2254548666666665,2004
421,The Prince of Egypt,101413188,218600000,60000000,1998-12-18,PG/PG-13,Adapted screenplay,Action/Adventure,Non-Fiction,6.8,24569,3.6433333333333335,1998
422,Jumper,80172128,222117068,82500000,2008-02-14,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.9,69161,2.692328096969697,2008
423,Interview with the Vampire: The Vampire Chronicles,105264608,223564608,50000000,1994-11-11,R,Adapted screenplay,Horror/Thriller,Fiction,7.4,78953,4.47129216,1994
424,Yes Man,97690976,225990976,50000000,2008-12-19,PG/PG-13,Adapted screenplay,Comedy,Fiction,7.0,62150,4.51981952,2008
425,Percy Jackson & the Olympians: The Lightning Thief,88761720,226435277,95000000,2010-02-12,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.8,20451,2.3835292315789474,2010
426,The English Patient,78716374,231716374,35000000,1996-11-15,R,Adapted screenplay,Drama,Fiction,7.3,54484,6.620467828571429,1996
427,Artificial Intelligence: AI,78616689,235900000,90000000,2001-06-29,PG/PG-13,Adapted screenplay,Drama,Fiction,6.9,91901,2.621111111111111,2001
428,Journey to the Center of the Earth,101704370,240904370,45000000,2008-07-11,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.9,23756,5.353430444444444,2008
429,Babe,63658910,246100000,30000000,1995-08-04,G,Adapted screenplay,Action/Adventure,Fiction,7.3,35644,8.203333333333333,1995
430,Eragon,75030163,249488115,100000000,2006-12-15,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.0,43555,2.49488115,2006
431,Hercules,99112101,250700000,70000000,1997-06-15,G,Adapted screenplay,Action/Adventure,Fiction,6.8,21902,3.5814285714285714,1997
432,Jumanji,100458310,262758310,65000000,1995-12-15,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,54973,4.042435538461539,1995
433,The Princess and the Frog,104374107,263467382,105000000,2009-11-25,G,Adapted screenplay,Action/Adventure,Fiction,7.4,16232,2.509213161904762,2009
434,Bridget Jones: The Edge Of Reason,40203020,263894551,50000000,2004-11-12,R,Adapted screenplay,Comedy,Fiction,5.6,26325,5.27789102,2004
435,The Firm,158340892,270340892,42000000,1993-06-30,R,Adapted screenplay,Horror/Thriller,Fiction,5.5,957,6.4366879047619046,1993
436,Bridget Jones's Diary,71500556,281527158,25000000,2001-04-13,R,Adapted screenplay,Comedy,Fiction,6.8,58213,11.26108632,2001
437,The Green Mile,136801374,286601374,60000000,1999-12-10,R,Adapted screenplay,Drama,Fiction,8.4,198916,4.776689566666667,1999
438,The Bourne Supremacy,176087450,288587450,85000000,2004-07-23,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.6,104614,3.3951464705882355,2004
439,Shutter Island,128012934,294512934,80000000,2010-02-19,R,Adapted screenplay,Horror/Thriller,Fiction,8.0,105706,3.681411675,2010
440,Horton Hears a Who,154529439,297133947,85000000,2008-03-14,G,Adapted screenplay,Action/Adventure,Fiction,7.2,31323,3.495693494117647,2008
441,Stuart Little,140015224,298800000,105000000,1999-12-17,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.8,23226,2.8457142857142856,1999
442,Rambo: First Blood Part II,150415432,300400000,44000000,1985-05-22,R,Adapted screenplay,Action/Adventure,Fiction,5.8,38548,6.827272727272727,1985
443,The Polar Express,181320597,305420597,170000000,2004-11-10,G,Adapted screenplay,Action/Adventure,Fiction,6.7,28550,1.7965917470588235,2004
444,The Hunchback of Notre Dame,100138851,325500000,100000000,1996-06-21,G,Adapted screenplay,Action/Adventure,Fiction,6.5,19479,3.255,1996
445,The Devil Wears Prada,124740460,326551094,35000000,2006-06-30,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.8,66627,9.330031257142856,2006
446,The Perfect Storm,182618434,328711434,120000000,2000-06-30,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.2,55716,2.73926195,2000
447,The Curious Case of Benjamin Button,127509326,329809326,160000000,2008-12-25,PG/PG-13,Adapted screenplay,Drama,Fiction,8.0,137120,2.0613082875,2008
448,Apollo 13,172070496,334100000,65000000,1995-06-30,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,7.5,87605,5.14,1995
449,Tomorrow Never Dies,125304276,339504276,110000000,1997-12-19,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,46650,3.086402509090909,1997
450,How the Grinch Stole Christmas,260044825,345141403,123000000,2000-11-17,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.7,40310,2.8060276666666666,2000
451,Hannibal,165092266,350100280,87000000,2001-02-09,R,Adapted screenplay,Horror/Thriller,Fiction,6.4,74862,4.0241411494252874,2001
452,Catch Me if You Can,164606800,351106800,52000000,2002-12-25,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,5.7,224,6.752053846153846,2002
453,Goldeneye,106429941,356429941,60000000,1995-11-17,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.2,69199,5.940499016666666,1995
454,Minority Report,132024714,358824714,102000000,2002-06-21,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.7,135142,3.5178893529411766,2002
455,The World is Not Enough,126930660,361730660,135000000,1999-11-19,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.3,59406,2.67948637037037,1999
456,Die Hard: With a Vengeance,100012499,364480746,90000000,1995-05-19,R,Adapted screenplay,Action/Adventure,Fiction,7.4,87437,4.049786066666667,1995
457,Jurassic Park 3,181166115,365900000,93000000,2001-07-18,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.9,151365,3.934408602150538,2001
458,Live Free or Die Hard,134529403,383531464,110000000,2007-06-27,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.5,130559,3.486649672727273,2007
459,Gone with the Wind,198680470,390525192,3900000,2039-12-15,G,Adapted screenplay,Drama,Fiction,8.2,78947,100.13466461538462,2039
460,Twilight,192769854,396439854,37000000,2008-11-21,PG/PG-13,Adapted screenplay,Drama,Fiction,6.1,4840,10.714590648648649,2008
461,The Exorcist,204632868,402500000,12000000,1973-12-26,R,Adapted screenplay,Horror/Thriller,Fiction,8.1,103131,33.541666666666664,1973
462,Beauty and the Beast,171340294,403476931,20000000,1991-11-13,G,Adapted screenplay,Western/Musical,Fiction,3.4,354,20.17384655,1991
463,Night at the Museum: Battle of the Smithsonian,177243721,413054631,150000000,2009-05-22,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.9,25631,2.75369754,2009
464,The Chronicles of Narnia: Prince Caspian,141621490,419490286,225000000,2008-05-16,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.9,46608,1.864401271111111,2008
465,Die Another Day,160942139,431942139,142000000,2002-11-22,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.0,67476,3.0418460492957746,2002
466,Mrs. Doubtfire,219195051,441286003,25000000,1993-11-24,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.6,56917,17.65144012,1993
467,The Bourne Ultimatum,227471070,442161562,130000000,2007-08-03,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.2,146025,3.4012427846153845,2007
468,Tarzan,171091819,448191819,145000000,1999-06-16,G,Adapted screenplay,Action/Adventure,Fiction,6.9,26871,3.0909780620689653,1999
469,Jaws,260000000,470700000,12000000,1975-06-20,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,8.3,138017,39.225,1975
470,Shrek,267655011,484399218,50000000,2001-05-18,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.0,163855,9.68798436,2001
471,Angels & Demons,133375846,485975846,150000000,2009-05-15,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.7,60114,3.2398389733333333,2009
472,How to Train Your Dragon,217581231,491581231,165000000,2010-03-26,PG/PG-13,Adapted screenplay,Comedy,Fiction,8.2,28556,2.979280187878788,2010
473,Twister,241888385,495900000,88000000,1996-05-10,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.0,61665,5.635227272727272,1996
474,Troy,133298577,497398577,150000000,2004-05-14,R,Adapted screenplay,Action/Adventure,Fiction,7.0,129575,3.3159905133333334,2004
475,Sherlock Holmes,209028679,518249844,80000000,2009-12-25,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.5,91555,6.47812305,2009
476,Night at the Museum,250863268,574480841,110000000,2006-12-22,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.4,67133,5.2225531,2006
477,Quantum of Solace,169368427,576368427,230000000,2008-11-14,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.8,93596,2.5059496826086956,2008
478,I am Legend,256393010,585055701,150000000,2007-12-14,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,7.1,153631,3.90037134,2007
479,Casino Royale,167365000,596365000,102000000,2006-11-17,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.0,172936,5.84671568627451,2006
480,The Passion of the Christ,370782930,611899420,25000000,2004-02-25,R,Adapted screenplay,Drama,Non-Fiction,7.1,87326,24.4759768,2004
481,Forrest Gump,329694499,679400525,55000000,1994-07-06,PG/PG-13,Adapted screenplay,Drama,Fiction,8.6,300455,12.352736818181818,1994
482,Shrek Forever After,238395990,729395990,165000000,2010-05-21,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.7,12193,4.420581757575758,2010
483,The Da Vinci Code,217536138,757236138,125000000,2006-05-19,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.4,116903,6.057889104,2006
484,The Lost World: Jurassic Park,229086679,786686679,75000000,1997-05-22,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.0,77124,10.48915572,1997
485,Harry Potter and the Prisoner of Azkaban,249538952,795538952,130000000,2004-06-04,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.7,108928,6.1195304,2004
486,Shrek the Third,322719944,798958162,160000000,2007-05-18,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.1,59778,4.9934885125,2007
487,The Lord of the Rings: The Fellowship of the Ring,314776170,868621686,109000000,2001-12-19,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.8,387438,7.969006293577982,2001
488,Harry Potter and the Chamber of Secrets,261987880,878987880,100000000,2002-11-15,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.2,120063,8.7898788,2002
489,Harry Potter and the Goblet of Fire,290013036,896013036,150000000,2005-11-18,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.6,111946,5.97342024,2005
490,Shrek 2,441226247,919838758,70000000,2004-05-19,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.5,95658,13.140553685714286,2004
491,Jurassic Park,357067947,923067947,63000000,1993-06-10,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.9,151365,14.651872174603175,1993
492,The Lord of the Rings: The Two Towers,341784377,926284377,94000000,2002-12-18,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.7,326950,9.854089117021276,2002
493,Harry Potter and the Half-Blood Prince,301959197,937499905,250000000,2009-07-15,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.3,73720,3.74999962,2009
494,Harry Potter and the Order of the Phoenix,292004738,938468864,150000000,2007-07-11,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.4,104074,6.2564590933333335,2007
495,Harry Potter and the Sorcerer's Stone,317557891,976457891,125000000,2001-11-16,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.2,132238,7.811663128,2001
496,Alice in Wonderland,334191110,1023291110,200000000,2010-03-05,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.7,63458,5.11645555,2010
497,The Lord of the Rings: The Return of the King,377027325,1133027325,94000000,2003-12-17,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.8,364077,12.053482180851065,2003
498,Steel,1686429,1686429,16000000,1997-08-15,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,2.7,4409,0.1054018125,1997
499,Tank Girl,4064333,4064333,25000000,1995-03-01,R,Adapted screenplay,Action/Adventure,Fiction,4.7,10772,0.16257332,1995
500,Monkeybone,5409517,5409517,75000000,2001-02-23,PG/PG-13,Adapted screenplay,Comedy,Fiction,4.5,8211,0.07212689333333333,2001
501,American Splendor,6003587,7978681,2000000,2003-08-15,R,Adapted screenplay,Drama,Fiction,7.6,23686,3.9893405,2003
502,Punisher: War Zone,8050977,8199130,35000000,2008-12-05,R,Adapted screenplay,Action/Adventure,Fiction,6.1,20865,0.23426085714285713,2008
503,Ghost World,6217849,8764007,5500000,2001-07-20,R,Adapted screenplay,Comedy,Fiction,7.7,42973,1.5934558181818181,2001
504,Jonah Hex,10547117,10547117,47000000,2010-06-18,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,4.3,2316,0.22440674468085106,2010
505,Whiteout,10275638,12254746,35000000,2009-09-11,R,Adapted screenplay,Horror/Thriller,Fiction,5.3,10044,0.3501356,2009
506,Zoom,11989328,12506188,35000000,2006-08-11,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,3.4,7424,0.35731965714285713,2006
507,The Phantom,17220599,17220599,45000000,1996-06-07,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,4.8,9477,0.3826799777777778,1996
508,Bulletproof Monk,23010607,23010607,52000000,2003-04-16,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.2,17130,0.4425116730769231,2003
509,Virus,14010690,30626690,75000000,1999-01-15,R,Adapted screenplay,Action/Adventure,Fiction,4.5,10487,0.4083558666666667,1999
510,From Hell,31598308,31598308,35000000,2001-10-19,R,Adapted screenplay,Horror/Thriller,Fiction,6.8,53477,0.9028088,2001
511,The Shadow,31835600,31835600,40000000,1994-07-01,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.6,9530,0.79589,1994
512,The Covenant,23364784,38164784,20000000,2006-09-08,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,4.8,17736,1.9082392,2006
513,Scott Pilgrim vs. The World,31167395,43149143,85000000,2010-08-13,PG/PG-13,Adapted screenplay,Comedy,Fiction,8.1,17461,0.5076369764705883,2010
514,Astro Boy,19551067,44093014,65000000,2009-10-23,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,5265,0.6783540615384616,2009
515,The Punisher,33664370,54664370,33000000,2004-04-16,R,Adapted screenplay,Action/Adventure,Fiction,6.4,50482,1.6564960606060606,2004
516,Son of the Mask,17018422,59918422,100000000,2005-02-18,PG/PG-13,Adapted screenplay,Comedy,Fiction,2.0,15800,0.59918422,2005
517,A History of Violence,31493782,59993782,32000000,2005-09-23,R,Adapted screenplay,Drama,Fiction,7.6,79738,1.8748056875,2005
518,30 Days of Night,39568996,75066323,30000000,2007-10-19,R,Adapted screenplay,Horror/Thriller,Fiction,6.6,52518,2.502210766666667,2007
519,Kick-Ass,48071303,76252166,28000000,2010-04-16,R,Adapted screenplay,Action/Adventure,Fiction,8.1,86990,2.7232916428571428,2010
520,Catwoman,40202379,82102379,100000000,2004-07-23,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,3.2,34651,0.82102379,2004
521,Spawn,54979992,87949859,40000000,1997-07-31,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,4.8,21366,2.198746475,1997
522,TMNT,54149098,95009888,35000000,2007-03-23,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.6,26178,2.7145682285714288,2007
523,Hellboy,59623958,99823958,60000000,2004-04-02,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.8,67763,1.6637326333333333,2004
524,Timecop,44853581,102053581,28000000,1994-09-16,R,Adapted screenplay,Action/Adventure,Fiction,5.5,16570,3.64477075,1994
525,Judge Dredd,34687912,113487912,85000000,1995-06-30,R,Adapted screenplay,Action/Adventure,Fiction,4.9,30736,1.3351519058823529,1995
526,Surrogates,38577772,119668350,80000000,2009-09-25,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.3,36940,1.495854375,2009
527,Blade,70141876,131237688,45000000,1998-08-21,R,Adapted screenplay,Action/Adventure,Fiction,7.0,64896,2.9163930666666666,1998
528,Blade: Trinity,52397389,132397389,65000000,2004-12-08,R,Adapted screenplay,Action/Adventure,Fiction,5.7,42477,2.036882907692308,2004
529,V for Vendetta,70511035,132511035,50000000,2006-03-17,R,Adapted screenplay,Action/Adventure,Fiction,8.2,224636,2.6502207,2006
530,AstÈrix aux Jeux Olympiques,999811,132999811,113500000,2008-07-04,Other,Adapted screenplay,Action/Adventure,Fiction,4.9,5620,1.171804502202643,2008
531,Blade 2,81676888,154338601,54000000,2002-03-22,R,Adapted screenplay,Action/Adventure,Fiction,5.5,90,2.858122240740741,2002
532,Sin City,74103820,158753820,40000000,2005-04-01,R,Adapted screenplay,Action/Adventure,Fiction,8.3,255814,3.9688455,2005
533,Hellboy 2: The Golden Army,75986503,160388063,82500000,2008-07-11,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.3,61902,1.9440977333333334,2008
534,Daredevil,102543518,179179718,80000000,2003-02-14,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.5,63574,2.239746475,2003
535,The League of Extraordinary Gentlemen,66465204,179265204,78000000,2003-07-11,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.5,50710,2.2982718461538463,2003
536,Watchmen,107509799,184068357,138000000,2009-03-06,R,Adapted screenplay,Action/Adventure,Fiction,7.8,132250,1.3338286739130434,2009
537,Garfield,75367693,200802638,50000000,2004-06-11,PG/PG-13,Adapted screenplay,Comedy,Fiction,4.8,19870,4.01605276,2004
538,Constantine,75976178,230884728,75000000,2005-02-18,R,Adapted screenplay,Action/Adventure,Fiction,6.7,78705,3.07846304,2005
539,Ghost Rider,115802596,237702596,120000000,2007-02-16,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.2,63235,1.9808549666666666,2007
540,Hulk,132177234,245360480,137000000,2003-06-20,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.7,70844,1.790952408759124,2003
541,The Incredible Hulk,134806913,263349257,137500000,2008-06-13,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.1,82419,1.9152673236363635,2008
542,Superman,134218018,300200000,55000000,1978-12-15,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,4.9,129,5.458181818181818,1978
543,Fantastic Four,154696080,330579719,87500000,2005-07-08,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.7,71675,3.7780539314285715,2005
544,X-Men,157299717,334627820,75000000,2000-07-14,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.4,120706,4.461704266666667,2000
545,Wanted,134508551,340934768,75000000,2008-06-27,R,Adapted screenplay,Action/Adventure,Fiction,6.4,1089,4.545796906666666,2008
546,The Mask,119920129,343900000,18000000,1994-07-29,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.6,72981,19.105555555555554,1994
547,Batman Begins,205343774,372353017,150000000,2005-06-15,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.3,270641,2.4823534466666666,2005
548,Monsters vs. Aliens,198351526,381687380,175000000,2009-03-27,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.8,26582,2.181070742857143,2009
549,Superman Returns,200120000,391120000,232000000,2006-06-28,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.6,102751,1.6858620689655173,2006
550,X2,214949694,407711549,125000000,2003-05-02,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.8,112320,3.261692392,2003
551,Batman,251188924,411348924,35000000,1989-06-23,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.6,111464,11.7528264,1989
552,Men in Black 2,190418803,441818803,140000000,2002-07-03,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.4,467,3.1558485928571427,2002
553,300,210614939,456068181,60000000,2007-03-09,R,Adapted screenplay,Action/Adventure,Fiction,7.8,235508,7.60113635,2007
554,X-Men: The Last Stand,234362462,459359555,150000000,2006-05-26,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.9,109125,3.0623970333333332,2006
555,Iron Man,318604126,582604126,186000000,2008-05-02,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.9,174040,3.132280247311828,2008
556,Men in Black,250690539,587790539,90000000,1997-07-01,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.0,119704,6.5310059888888885,1997
557,Iron Man 2,312128345,622128345,170000000,2010-05-07,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.3,61256,3.6595785,2010
558,Spider-Man 2,373524485,783705001,200000000,2004-06-30,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.7,141940,3.918525005,2004
559,Spider-Man,403706375,821708551,139000000,2002-05-03,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.4,167524,5.911572309352518,2002
560,Spider-Man 3,336530303,890871626,258000000,2007-05-04,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,141513,3.4529907984496124,2007
561,The Dark Knight,533345358,1022345358,185000000,2008-07-18,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,8.9,465000,5.526191124324324,2008
562,BloodRayne,2405420,2405420,25000000,2006-01-06,R,Adapted screenplay,Action/Adventure,Fiction,2.7,20137,0.0962168,2006
563,DOA: Dead or Alive,480314,2670860,30000000,2007-06-15,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,4.9,16646,0.08902866666666667,2007
564,Alone in the Dark,5178569,8178569,20000000,2005-01-28,R,Adapted screenplay,Horror/Thriller,Fiction,2.3,26028,0.40892845,2005
565,Wing Commander,11578022,11578022,30000000,1999-03-12,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,3.7,9460,0.3859340666666667,1999
566,The House of the Dead,10199354,13767816,7000000,2003-10-10,R,Adapted screenplay,Horror/Thriller,Fiction,6.5,5541,1.9668308571428572,2003
567,Dungeons and Dragons,15185241,33771965,35000000,2000-12-08,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,3.6,16954,0.9649132857142857,2000
568,Mortal Kombat: Annihilation,35927406,51327406,30000000,1997-11-21,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,3.2,16672,1.7109135333333334,1997
569,Doom,28212337,54612337,70000000,2005-10-21,R,Adapted screenplay,Horror/Thriller,Fiction,5.2,39473,0.7801762428571428,2005
570,Final Fiction: The Spirits Within,32131830,85131830,137000000,2001-07-11,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,36227,0.6214002189781022,2001
571,Max Payne,40687294,85761789,35000000,2008-10-17,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.4,47541,2.4503368285714284,2008
572,Street Fighter,33423000,99423000,35000000,1994-12-23,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,3.3,25407,2.8406571428571428,1994
573,Silent Hill,46982632,99982632,50000000,2006-04-21,R,Adapted screenplay,Horror/Thriller,Fiction,6.5,65485,1.99965264,2006
574,Resident Evil,40119709,103787401,35000000,2002-03-15,R,Adapted screenplay,Horror/Thriller,Fiction,6.4,68342,2.9653543142857144,2002
575,Mortal Kombat,70433227,122133227,20000000,1995-08-18,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.4,29605,6.10666135,1995
576,Resident Evil: Apocalypse,50740078,128940078,50000000,2004-09-10,R,Adapted screenplay,Horror/Thriller,Fiction,5.8,52753,2.57880156,2004
577,Resident Evil: Extinction,50648679,146162920,45000000,2007-09-21,R,Adapted screenplay,Action/Adventure,Fiction,6.2,49502,3.248064888888889,2007
578,Lara Croft: Tomb Raider: The Cradle of Life,65653758,156453758,90000000,2003-07-25,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.2,32832,1.738375088888889,2003
