,Title,US Gross,Worldwide Gross,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,IMDB Rating,IMDB Votes,ratio_wgross_by_budget,Release Year
258,The Count of Monte Cristo,54228104,54228104,40000000,2002-01-25,PG/PG-13,Adapted screenplay,Drama,Fiction,7.6,40605,1.3557026,2002
259,The Mothman Prophecies,35228696,54639865,42000000,2002-01-25,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.5,26948,1.3009491666666666,2002
260,The Mist,25593755,54777490,13000000,2007-11-21,R,Adapted screenplay,Horror/Thriller,Fiction,7.4,76830,4.213653076923077,2007
261,Derailed,36020063,54962616,22000000,2005-11-11,R,Adapted screenplay,Action/Adventure,Fiction,3.4,3317,2.4983007272727273,2005
262,The Ant Bully,28142535,55181129,45000000,2006-07-28,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.2,7766,1.2262473111111112,2006
263,Clueless,56598476,56598476,13700000,1995-07-01,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.7,39055,4.131275620437957,1995
264,A Civil Action/Adventure,56709981,56709981,60000000,1998-12-25,PG/PG-13,Adapted screenplay,Drama,Fiction,6.4,14244,0.94516635,1998
265,The Man in the Iron Mask,56968169,56968169,35000000,1998-03-13,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.2,561,1.6276619714285714,1998
266,The Specialist,57362581,57362581,45000000,1994-10-07,R,Adapted screenplay,Action/Adventure,Fiction,4.9,18749,1.2747240222222223,1994
267,Inkheart,17303424,58051454,60000000,2009-01-23,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.1,14157,0.9675242333333334,2009
268,Must Love Dogs,43894863,58894863,35000000,2005-07-29,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.9,13491,1.6827103714285714,2005
269,The Insider,28965197,60265197,68000000,1999-11-05,R,Adapted screenplay,Drama,Non-Fiction,8.0,68747,0.8862528970588235,1999
270,Kiss the Girls,60527873,60527873,27000000,1997-10-03,R,Adapted screenplay,Horror/Thriller,Fiction,6.4,20932,2.2417730740740742,1997
271,Marie Antoinette,15962471,60862471,40000000,2006-10-20,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.4,31877,1.521561775,2006
272,The 13th Warrior,32698899,61698899,125000000,1999-08-27,R,Adapted screenplay,Action/Adventure,Fiction,6.3,36151,0.493591192,1999
273,Flags of Our Fathers,33602376,61902376,53000000,2006-10-20,R,Adapted screenplay,Drama,Fiction,7.2,42788,1.167969358490566,2006
274,Friday Night Lights,61255921,61950770,30000000,2004-10-08,PG/PG-13,Adapted screenplay,Drama,Fiction,7.2,20868,2.0650256666666666,2004
275,Captain Corelli's Mandolin,25528495,62097495,57000000,2001-08-17,R,Adapted screenplay,Drama,Fiction,5.7,14706,1.0894297368421053,2001
276,Random Hearts,31054924,63200000,64000000,1999-10-08,R,Adapted screenplay,Drama,Fiction,4.8,11100,0.9875,1999
277,The Ghost Writer,15541549,63241549,45000000,2010-02-19,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,7.6,22875,1.4053677555555555,2010
278,Precious (Based on the Novel Push by Sapphire),47566524,63471431,10000000,2009-11-06,R,Adapted screenplay,Drama,Fiction,7.5,24504,6.3471431,2009
279,High Crimes,41543207,63781100,42000000,2002-04-05,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.1,14428,1.5185976190476191,2002
280,Wag the Dog,43057470,64252038,15000000,1997-12-25,R,Adapted screenplay,Drama,Fiction,7.0,36092,4.2834692,1997
281,Without a Paddle,58156435,65121280,30000000,2004-08-20,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.7,17207,2.1707093333333334,2004
282,Se jie,4604982,65696051,15000000,2007-09-28,R,Adapted screenplay,Drama,Fiction,7.6,15440,4.379736733333333,2007
283,K-19: The Widowmaker,35168966,65716126,90000000,2002-07-19,PG/PG-13,Adapted screenplay,Action/Adventure,Non-Fiction,6.5,22288,0.7301791777777777,2002
