Latitude,Longitude
37.0,102.0
37.0,102.0707071
37.0,102.1414141
37.0,102.2121212
37.0,102.2828283
37.0,102.3535354
37.0,102.4242424
37.0,102.4949495
37.0,102.5656566
37.0,102.6363636
37.0,102.7070707
37.0,102.7777778
37.0,102.8484848
37.0,102.9191919
37.0,102.989899
37.0,103.0606061
37.0,103.1313131
37.0,103.2020202
37.0,103.2727273
37.0,103.3434343
37.0,103.4141414
37.0,103.4848485
37.0,103.5555556
37.0,103.6262626
37.0,103.6969697
37.0,103.7676768
37.0,103.8383838
37.0,103.9090909
37.0,103.979798
37.0,104.0505051
37.0,104.1212121
37.0,104.1919192
37.0,104.2626263
37.0,104.3333333
37.0,104.4040404
37.0,104.4747475
37.0,104.5454545
37.0,104.6161616
37.0,104.6868687
37.0,104.7575758
37.0,104.8282828
37.0,104.8989899
37.0,104.969697
37.0,105.040404
37.0,105.1111111
37.0,105.1818182
37.0,105.2525253
37.0,105.3232323
37.0,105.3939394
37.0,105.4646465
37.0,105.5353535
37.0,105.6060606
37.0,105.6767677
37.0,105.7474747
37.0,105.8181818
37.0,105.8888889
37.0,105.959596
37.0,106.030303
37.0,106.1010101
37.0,106.1717172
37.0,106.2424242
37.0,106.3131313
37.0,106.3838384
37.0,106.4545455
37.0,106.5252525
37.0,106.5959596
37.0,106.6666667
37.0,106.7373737
37.0,106.8080808
37.0,106.8787879
37.0,106.9494949
37.0,107.020202
37.0,107.0909091
37.0,107.1616162
37.0,107.2323232
37.0,107.3030303
37.0,107.3737374
37.0,107.4444444
37.0,107.5151515
37.0,107.5858586
37.0,107.6565657
37.0,107.7272727
37.0,107.7979798
37.0,107.8686869
37.0,107.9393939
37.0,108.010101
37.0,108.0808081
37.0,108.1515152
37.0,108.2222222
37.0,108.2929293
37.0,108.3636364
37.0,108.4343434
37.0,108.5050505
37.0,108.5757576
37.0,108.6464646
37.0,108.7171717
37.0,108.7878788
37.0,108.8585859
37.0,108.9292929
37.0,109.0
37.04040404,102.0
37.04040404,102.0707071
37.04040404,102.1414141
37.04040404,102.2121212
37.04040404,102.2828283
37.04040404,102.3535354
37.04040404,102.4242424
37.04040404,102.4949495
37.04040404,102.5656566
37.04040404,102.6363636
37.04040404,102.7070707
37.04040404,102.7777778
37.04040404,102.8484848
37.04040404,102.9191919
37.04040404,102.989899
37.04040404,103.0606061
37.04040404,103.1313131
37.04040404,103.2020202
37.04040404,103.2727273
37.04040404,103.3434343
37.04040404,103.4141414
37.04040404,103.4848485
37.04040404,103.5555556
37.04040404,103.6262626
37.04040404,103.6969697
37.04040404,103.7676768
37.04040404,103.8383838
37.04040404,103.9090909
37.04040404,103.979798
37.04040404,104.0505051
37.04040404,104.1212121
37.04040404,104.1919192
37.04040404,104.2626263
37.04040404,104.3333333
37.04040404,104.4040404
37.04040404,104.4747475
37.04040404,104.5454545
37.04040404,104.6161616
37.04040404,104.6868687
37.04040404,104.7575758
37.04040404,104.8282828
37.04040404,104.8989899
37.04040404,104.969697
37.04040404,105.040404
37.04040404,105.1111111
37.04040404,105.1818182
37.04040404,105.2525253
37.04040404,105.3232323
37.04040404,105.3939394
37.04040404,105.4646465
37.04040404,105.5353535
37.04040404,105.6060606
37.04040404,105.6767677
37.04040404,105.7474747
37.04040404,105.8181818
37.04040404,105.8888889
37.04040404,105.959596
37.04040404,106.030303
37.04040404,106.1010101
37.04040404,106.1717172
37.04040404,106.2424242
37.04040404,106.3131313
37.04040404,106.3838384
37.04040404,106.4545455
37.04040404,106.5252525
37.04040404,106.5959596
37.04040404,106.6666667
37.04040404,106.7373737
37.04040404,106.8080808
37.04040404,106.8787879
37.04040404,106.9494949
37.04040404,107.020202
37.04040404,107.0909091
37.04040404,107.1616162
37.04040404,107.2323232
37.04040404,107.3030303
37.04040404,107.3737374
37.04040404,107.4444444
37.04040404,107.5151515
37.04040404,107.5858586
37.04040404,107.6565657
37.04040404,107.7272727
37.04040404,107.7979798
37.04040404,107.8686869
37.04040404,107.9393939
37.04040404,108.010101
37.04040404,108.0808081
37.04040404,108.1515152
37.04040404,108.2222222
37.04040404,108.2929293
37.04040404,108.3636364
37.04040404,108.4343434
37.04040404,108.5050505
37.04040404,108.5757576
37.04040404,108.6464646
37.04040404,108.7171717
37.04040404,108.7878788
37.04040404,108.8585859
37.04040404,108.9292929
37.04040404,109.0
37.08080808,102.0
37.08080808,102.0707071
37.08080808,102.1414141
37.08080808,102.2121212
37.08080808,102.2828283
37.08080808,102.3535354
37.08080808,102.4242424
37.08080808,102.4949495
37.08080808,102.5656566
37.08080808,102.6363636
37.08080808,102.7070707
37.08080808,102.7777778
37.08080808,102.8484848
37.08080808,102.9191919
37.08080808,102.989899
37.08080808,103.0606061
37.08080808,103.1313131
37.08080808,103.2020202
37.08080808,103.2727273
37.08080808,103.3434343
37.08080808,103.4141414
37.08080808,103.4848485
37.08080808,103.5555556
37.08080808,103.6262626
37.08080808,103.6969697
37.08080808,103.7676768
37.08080808,103.8383838
37.08080808,103.9090909
37.08080808,103.979798
37.08080808,104.0505051
37.08080808,104.1212121
37.08080808,104.1919192
37.08080808,104.2626263
37.08080808,104.3333333
37.08080808,104.4040404
37.08080808,104.4747475
37.08080808,104.5454545
37.08080808,104.6161616
37.08080808,104.6868687
37.08080808,104.7575758
37.08080808,104.8282828
37.08080808,104.8989899
37.08080808,104.969697
37.08080808,105.040404
37.08080808,105.1111111
37.08080808,105.1818182
37.08080808,105.2525253
37.08080808,105.3232323
37.08080808,105.3939394
37.08080808,105.4646465
37.08080808,105.5353535
37.08080808,105.6060606
37.08080808,105.6767677
37.08080808,105.7474747
37.08080808,105.8181818
37.08080808,105.8888889
37.08080808,105.959596
37.08080808,106.030303
37.08080808,106.1010101
37.08080808,106.1717172
37.08080808,106.2424242
37.08080808,106.3131313
37.08080808,106.3838384
37.08080808,106.4545455
37.08080808,106.5252525
37.08080808,106.5959596
37.08080808,106.6666667
37.08080808,106.7373737
37.08080808,106.8080808
37.08080808,106.8787879
37.08080808,106.9494949
37.08080808,107.020202
37.08080808,107.0909091
37.08080808,107.1616162
37.08080808,107.2323232
37.08080808,107.3030303
37.08080808,107.3737374
37.08080808,107.4444444
37.08080808,107.5151515
37.08080808,107.5858586
37.08080808,107.6565657
37.08080808,107.7272727
37.08080808,107.7979798
37.08080808,107.8686869
37.08080808,107.9393939
37.08080808,108.010101
37.08080808,108.0808081
37.08080808,108.1515152
37.08080808,108.2222222
37.08080808,108.2929293
37.08080808,108.3636364
37.08080808,108.4343434
37.08080808,108.5050505
37.08080808,108.5757576
37.08080808,108.6464646
37.08080808,108.7171717
37.08080808,108.7878788
37.08080808,108.8585859
37.08080808,108.9292929
37.08080808,109.0
37.12121212,102.0
37.12121212,102.0707071
37.12121212,102.1414141
37.12121212,102.2121212
37.12121212,102.2828283
37.12121212,102.3535354
37.12121212,102.4242424
37.12121212,102.4949495
37.12121212,102.5656566
37.12121212,102.6363636
37.12121212,102.7070707
37.12121212,102.7777778
37.12121212,102.8484848
37.12121212,102.9191919
37.12121212,102.989899
37.12121212,103.0606061
37.12121212,103.1313131
37.12121212,103.2020202
37.12121212,103.2727273
37.12121212,103.3434343
37.12121212,103.4141414
37.12121212,103.4848485
37.12121212,103.5555556
37.12121212,103.6262626
37.12121212,103.6969697
37.12121212,103.7676768
37.12121212,103.8383838
37.12121212,103.9090909
37.12121212,103.979798
37.12121212,104.0505051
37.12121212,104.1212121
37.12121212,104.1919192
37.12121212,104.2626263
37.12121212,104.3333333
37.12121212,104.4040404
37.12121212,104.4747475
37.12121212,104.5454545
37.12121212,104.6161616
37.12121212,104.6868687
37.12121212,104.7575758
37.12121212,104.8282828
37.12121212,104.8989899
37.12121212,104.969697
37.12121212,105.040404
37.12121212,105.1111111
37.12121212,105.1818182
37.12121212,105.2525253
37.12121212,105.3232323
37.12121212,105.3939394
37.12121212,105.4646465
37.12121212,105.5353535
37.12121212,105.6060606
37.12121212,105.6767677
37.12121212,105.7474747
37.12121212,105.8181818
37.12121212,105.8888889
37.12121212,105.959596
37.12121212,106.030303
37.12121212,106.1010101
37.12121212,106.1717172
37.12121212,106.2424242
37.12121212,106.3131313
37.12121212,106.3838384
37.12121212,106.4545455
37.12121212,106.5252525
37.12121212,106.5959596
37.12121212,106.6666667
37.12121212,106.7373737
37.12121212,106.8080808
37.12121212,106.8787879
37.12121212,106.9494949
37.12121212,107.020202
37.12121212,107.0909091
37.12121212,107.1616162
37.12121212,107.2323232
37.12121212,107.3030303
37.12121212,107.3737374
37.12121212,107.4444444
37.12121212,107.5151515
37.12121212,107.5858586
37.12121212,107.6565657
37.12121212,107.7272727
37.12121212,107.7979798
37.12121212,107.8686869
37.12121212,107.9393939
37.12121212,108.010101
37.12121212,108.0808081
37.12121212,108.1515152
37.12121212,108.2222222
37.12121212,108.2929293
37.12121212,108.3636364
37.12121212,108.4343434
37.12121212,108.5050505
37.12121212,108.5757576
37.12121212,108.6464646
37.12121212,108.7171717
37.12121212,108.7878788
37.12121212,108.8585859
37.12121212,108.9292929
37.12121212,109.0
37.16161616,102.0
37.16161616,102.0707071
37.16161616,102.1414141
37.16161616,102.2121212
37.16161616,102.2828283
37.16161616,102.3535354
37.16161616,102.4242424
37.16161616,102.4949495
37.16161616,102.5656566
37.16161616,102.6363636
37.16161616,102.7070707
37.16161616,102.7777778
37.16161616,102.8484848
37.16161616,102.9191919
37.16161616,102.989899
37.16161616,103.0606061
37.16161616,103.1313131
37.16161616,103.2020202
37.16161616,103.2727273
37.16161616,103.3434343
37.16161616,103.4141414
37.16161616,103.4848485
37.16161616,103.5555556
37.16161616,103.6262626
37.16161616,103.6969697
37.16161616,103.7676768
37.16161616,103.8383838
37.16161616,103.9090909
37.16161616,103.979798
37.16161616,104.0505051
37.16161616,104.1212121
37.16161616,104.1919192
37.16161616,104.2626263
37.16161616,104.3333333
37.16161616,104.4040404
37.16161616,104.4747475
37.16161616,104.5454545
37.16161616,104.6161616
37.16161616,104.6868687
37.16161616,104.7575758
37.16161616,104.8282828
37.16161616,104.8989899
37.16161616,104.969697
37.16161616,105.040404
37.16161616,105.1111111
37.16161616,105.1818182
37.16161616,105.2525253
37.16161616,105.3232323
37.16161616,105.3939394
37.16161616,105.4646465
37.16161616,105.5353535
37.16161616,105.6060606
37.16161616,105.6767677
37.16161616,105.7474747
37.16161616,105.8181818
37.16161616,105.8888889
37.16161616,105.959596
37.16161616,106.030303
37.16161616,106.1010101
37.16161616,106.1717172
37.16161616,106.2424242
37.16161616,106.3131313
37.16161616,106.3838384
37.16161616,106.4545455
37.16161616,106.5252525
37.16161616,106.5959596
37.16161616,106.6666667
37.16161616,106.7373737
37.16161616,106.8080808
37.16161616,106.8787879
37.16161616,106.9494949
37.16161616,107.020202
37.16161616,107.0909091
37.16161616,107.1616162
37.16161616,107.2323232
37.16161616,107.3030303
37.16161616,107.3737374
37.16161616,107.4444444
37.16161616,107.5151515
37.16161616,107.5858586
37.16161616,107.6565657
37.16161616,107.7272727
37.16161616,107.7979798
37.16161616,107.8686869
37.16161616,107.9393939
37.16161616,108.010101
37.16161616,108.0808081
37.16161616,108.1515152
37.16161616,108.2222222
37.16161616,108.2929293
37.16161616,108.3636364
37.16161616,108.4343434
37.16161616,108.5050505
37.16161616,108.5757576
37.16161616,108.6464646
37.16161616,108.7171717
37.16161616,108.7878788
37.16161616,108.8585859
37.16161616,108.9292929
37.16161616,109.0
37.2020202,102.0
37.2020202,102.0707071
37.2020202,102.1414141
37.2020202,102.2121212
37.2020202,102.2828283
37.2020202,102.3535354
37.2020202,102.4242424
37.2020202,102.4949495
37.2020202,102.5656566
37.2020202,102.6363636
37.2020202,102.7070707
37.2020202,102.7777778
37.2020202,102.8484848
37.2020202,102.9191919
37.2020202,102.989899
37.2020202,103.0606061
37.2020202,103.1313131
37.2020202,103.2020202
37.2020202,103.2727273
37.2020202,103.3434343
37.2020202,103.4141414
37.2020202,103.4848485
37.2020202,103.5555556
37.2020202,103.6262626
37.2020202,103.6969697
37.2020202,103.7676768
37.2020202,103.8383838
37.2020202,103.9090909
37.2020202,103.979798
37.2020202,104.0505051
37.2020202,104.1212121
37.2020202,104.1919192
37.2020202,104.2626263
37.2020202,104.3333333
37.2020202,104.4040404
37.2020202,104.4747475
37.2020202,104.5454545
37.2020202,104.6161616
37.2020202,104.6868687
37.2020202,104.7575758
37.2020202,104.8282828
37.2020202,104.8989899
37.2020202,104.969697
37.2020202,105.040404
37.2020202,105.1111111
37.2020202,105.1818182
37.2020202,105.2525253
37.2020202,105.3232323
37.2020202,105.3939394
37.2020202,105.4646465
37.2020202,105.5353535
37.2020202,105.6060606
37.2020202,105.6767677
37.2020202,105.7474747
